teacher,projection_family,shape,basis_count,rank,status,original_params,compressed_params,compression_ratio,weight_relative_error,median_layer_error,p95_layer_error,max_layer_error,fit_seconds,artifact
Lightricks/LTX-2.5,attn.v,"[4096, 4096]",4,16,ok,805306368,73400512,10.97139987252405,0.9130007028579712,0.9693909287452698,0.9787652492523193,0.9833354949951172,0.4603164000000106,reports\basis_fits\attn-v_4096x4096_k4_r16.safetensors
Lightricks/LTX-2.5,ff-in,16384x4096,2,0,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,2,4,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,2,8,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,2,16,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,4,0,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,4,4,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,4,8,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-in,16384x4096,4,16,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,2,0,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,2,4,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,2,8,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,2,16,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,4,0,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,4,4,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,4,8,skipped_memory,,,,,,,,,
Lightricks/LTX-2.5,ff-out,4096x16384,4,16,skipped_memory,,,,,,,,,
